Name,Tenacity,Diaphaneity (Transparency),Colour,Hardness(Mohs),Lustre,Streak,Cleavage Quality,Cleavage Direction,Cleavage Angle,Fracture,Morphology,Pleochroism,Type,Crystal System,Surface Relief,Formula,Density
Beryl,Brittle,"transparent,translucent","colourless,green,blue,yellow,white,pink","7.5,8","Vitreous,Sub-Vitreous,Waxy,Greasy",White,Indistinct,indistinct,indistinct,Conchoidal,"prismatic,tabular,radial,columnar,granular,massive",none,Uniaxial (-),Hexagonal,Moderate,Be3Al2Si6O18,2.63 - 2.92 g/cm3 (Measured)  
Tephroite,Brittle,Translucent,"gray,olive,green,red,brown,brown",6,"Vitreous,Greasy",gray,good,2 directions,90 degrees,"Irregular,Uneven,Conchoidal",prismatic,Weak,Biaxial (-),Orthorhombic,Very High,Mn22+SiO4,3.87 - 4.12 g/cm3 (Measured)  4.15 g/cm3 (Calculated)
Zircon,Brittle,"Transparent,Translucent,Opaque","Colourless,yellow,gray,brown,green,brown,black",7.5,"Adamantine,Vitreous,Greasy",White,Indistinct,indistinct,indistinct,Conchoidal,"Tabular,prismatic,tetragonal-dipyramidal",Weak,Uniaxial (+),Tetragonal,Very High,"ZrSiO4May contain min,U,Th,Pb,Hf,Y/REE,P,others.",4.6 - 4.7 g/cm3 (Measured)  4.714 g/cm3 (Calculated)
Titanite,brittle,"Transparent,Translucent","Colourless,brown,green,yellow,red,black","5,5.5","Adamantine,Resinous",White,good,2 directions,40 degrees,Sub-Conchoidal,"wedge,massive",Visible,Biaxial (+),Monoclinic,Very High,CaTiSiO5,3.48 - 3.6 g/cm3 (Measured)  3.53 g/cm3 (Calculated)
Pyrope,brittle,"transparent,translucent","red,orange,red,purple,red,pink,red,colourless",7.5,Vitreous,White,Indistinct,indistinct,indistinct,Conchoidal,"dodecahedral,massive,granular,trapezohedral",none,Isotropic,Isometric,Very High,Mg3Al2(SiO4)3,3.582 g/cm3 (Measured)  
Almandine,Brittle,"Transparent,Translucent","red,red,violet,black","7,7.5","Vitreous,Resinous",White,Indistinct,indistinct,indistinct,Sub-Conchoidal,"dodecahedral,trapezohedral,granular,massive",none,Isotropic,Isometric,Very High,Fe32+Al2(SiO4)3,4.318 g/cm3 (Measured)  4.313 g/cm3 (Calculated)
Spessartine,brittle,"Transparent,Translucent","Red,orange,brown,brown,brown","6.5,7.5",Vitreous,White,Indistinct,indistinct,indistinct,Sub-Conchoidal,"massive,trapezohedral",none,Isotropic,Isometric,Very High,Mn32+Al2(SiO4)3,4.12 - 4.32 g/cm3 (Measured)  4.19 g/cm3 (Calculated)
Uvarovite,Brittle,"Transparent,Translucent","Green,green,black","6.5,7",Vitreous,White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","dodecahedral,trapezohedral",none,Isotropic,Isometric,Very High,Ca3Cr2(SiO4)3,3.77 - 3.81 g/cm3 (Measured)  3.848 g/cm3 (Calculated)
Grossularite,Brittle,"Transparent,Translucent","Brown,orange,red,yellow,green,white,colourless","6.5,7","Vitreous,Sub-Vitreous","White,brown,white",Indistinct,indistinct,indistinct,"Irregular,Uneven,Sub-Conchoidal","dodecahedral,trapezohedral,granular,massive",none,Isotropic,Isometric,High,Ca3Al2(SiO4)3,3.594 g/cm3 (Measured)  3.594 g/cm3 (Calculated)
Andradite,Brittle,"Transparent,Translucent","Yellow,yellow,green,green,brown,red,yellow,black,black","6.5,7","Adamantine,Resinous,Dull",White,Indistinct,indistinct,indistinct,"Irregular,Uneven,Conchoidal","dodecahedral,trapezohedral,granular,massive",none,Isotropic,Isometric,Very High,Ca3Fe23+(SiO4)3,3.8 - 3.9 g/cm3 (Measured)  3.859 g/cm3 (Calculated)
